TestCase	Operationalization	ModelSize	TGG	ExecutionTime	InitTime	ExecutionRank	InitRank
0311-2111	CC	8000	BlockCodeAdapter	9.1441728346E10	3.113057657E9	2	1
0303-0631	CC	8000	BlockCodeAdapter	8.7725390901E10	3.175915267E9	1	2
0311-0428	CC	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0309-1931	CC	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0306-0227	CC	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0308-0220	CC	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0310-0436	CC	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	CC	8000	BlockCodeAdapter	1.5E11	1.5E11	8	8
0311-0428	CC	4000	ClassInhHier2DB	3.643001072E9	1.758167824E9	1	1
0308-0220	CC	4000	ClassInhHier2DB	1.2247486363E10	1.774134852E9	8	2
0311-0003	CC	4000	ClassInhHier2DB	4.35787002E9	1.808071948E9	5	3
0303-0631	CC	4000	ClassInhHier2DB	4.369319086E9	1.80948742E9	6	4
0310-0436	CC	4000	ClassInhHier2DB	4.01699164E9	1.81610464E9	2	5
0309-1931	CC	4000	ClassInhHier2DB	4.147613969E9	1.8279869E9	4	6
0306-0227	CC	4000	ClassInhHier2DB	4.114916158E9	1.831012417E9	3	7
0311-2111	CC	4000	ClassInhHier2DB	4.783790418E9	1.835723669E9	7	8
0308-0220	MODELGEN	2000	VHDLTGGCodeAdapter	1.880474794E9	3.418775049E9	3	1
0311-0003	MODELGEN	2000	VHDLTGGCodeAdapter	1.840716305E9	3.422713565E9	1	2
0306-0227	MODELGEN	2000	VHDLTGGCodeAdapter	1.89653077E9	3.523186358E9	4	3
0311-2111	MODELGEN	2000	VHDLTGGCodeAdapter	1.959472623E9	3.534232592E9	6	4
0309-1931	MODELGEN	2000	VHDLTGGCodeAdapter	2.101416156E9	3.557006283E9	8	5
0303-0631	MODELGEN	2000	VHDLTGGCodeAdapter	1.844020212E9	3.578571478E9	2	6
0310-0436	MODELGEN	2000	VHDLTGGCodeAdapter	1.90731187E9	3.662473422E9	5	7
0311-0428	MODELGEN	2000	VHDLTGGCodeAdapter	2.017144734E9	3.674524171E9	7	8
0308-0220	MODELGEN	1000	CompanyToIT	1.163193988E9	1.537845679E9	2	1
0311-2111	MODELGEN	1000	CompanyToIT	1.154740075E9	1.587001015E9	1	2
